Timestamp,BearNumber,FurColor,Angle,SizeBefore,SizeAfter,Year
11/13/2021 14:54,32,dark brown,5,Medium,Very large,2020
11/14/2021 9:49,32,dark brown,5,Medium,Very large,2020
11/14/2021 9:52,32,dark brown,5,Small,Large,2020
11/14/2021 10:20,32,dark brown,5,Small,Large,2020
11/14/2021 11:50,32,brown,5,Medium,Very large,2020
11/14/2021 13:15,32,brown,5,Medium,Very large,2020
11/14/2021 18:27,32,dark brown,8,Medium,Large,2020
11/16/2021 14:02,32,brown,5,Medium,Very large,2020
11/16/2021 14:27,32,dark brown,6,Large,Very large,2020
11/16/2021 16:24,32,brown,5,Medium,Very large,2020
11/17/2021 9:12,32,brown,5,Large,Very large,2020
11/17/2021 10:29,32,brown,5,Medium,Large,2020
11/18/2021 11:41,32,dark brown,6,Medium,Very large,2020
